Order_ID,Order_Date,Product_Name,Category,Region,Customer_Type,Sales_Channel,Quantity_Sold,Unit_Price,Discount,Sales_Amount,Profit,Stock_Available
ORD000001,17-08-2023,Wireless Mouse,Electronics,East,New,Retail Store,3,810.05,0,2430.15,968.26,56
ORD000002,07-03-2023,Wireless Mouse,Electronics,North,Loyal,Retail Store,3,805.44,0,2416.32,877.62,71
ORD000003,27-03-2024,LED Desk Lamp,Home & Kitchen,Central,Returning,Retail Store,2,917.24,0.2,1467.58,527.78,77
ORD000004,15-11-2023,Women's Kurti,Fashion,East,New,Retail Store,4,1225.83,0.15,4167.82,1420.16,43
ORD000005,13-09-2023,Non-stick Pan,Home & Kitchen,North,New,Online,1,1125.68,0.1,1013.11,296.16,36
ORD000006,04-04-2023,Running Shoes,Fashion,East,Loyal,Retail Store,5,2461.64,0.2,9846.56,2713.66,48
ORD000007,30-11-2023,Water Bottle,Home & Kitchen,East,New,Online,4,505.19,0.25,1515.57,518.06,46
ORD000008,01-12-2023,LED Desk Lamp,Home & Kitchen,West,New,Online,3,906.05,0.15,2310.43,824.65,71
ORD000009,07-03-2023,Mixer Grinder,Home & Kitchen,West,Loyal,Retail Store,2,3377.58,0.1,6079.64,1720.15,64
ORD000010,21-03-2025,LED Desk Lamp,Home & Kitchen,South,Returning,Retail Store,3,905.25,0.1,2444.18,902.89,54
ORD000011,11-01-2025,Running Shoes,Fashion,South,New,Retail Store,2,2556.61,0,5113.22,1281.21,42
ORD000012,11-05-2023,Non-stick Pan,Home & Kitchen,West,New,Online,1,1130.38,0.05,1073.86,421.12,39
ORD000013,30-06-2024,Mixer Grinder,Home & Kitchen,North,Returning,Online,3,3390.35,0,10171.05,4019.3,48
ORD000014,05-11-2025,USB-C Charger,Electronics,East,Loyal,Online,5,986.65,0.1,4439.93,1653.88,13
ORD000015,25-10-2024,Face Wash,Beauty,North,Loyal,Online,5,346.2,0.15,1471.35,394.58,42
ORD000016,25-06-2023,Face Wash,Beauty,North,Loyal,Online,4,344.26,0,1377.04,433.85,42
ORD000017,26-06-2024,Moisturizer,Beauty,Central,Loyal,Retail Store,2,609.64,0.1,1097.35,392.82,50
ORD000018,28-03-2025,Water Bottle,Home & Kitchen,West,Loyal,Online,4,494.63,0,1978.52,569.06,33
ORD000019,27-03-2024,Wireless Mouse,Electronics,North,New,Online,2,819.19,0,1638.38,642.13,42
ORD000020,24-07-2024,Face Wash,Beauty,South,Returning,Retail Store,1,352.07,0.1,316.86,85.11,41
ORD000021,25-01-2024,USB-C Charger,Electronics,North,Loyal,Online,2,1002.35,0.1,1804.23,660.01,41
ORD000022,05-05-2023,Non-stick Pan,Home & Kitchen,East,Returning,Online,3,1087.47,0,3262.41,1010.44,41
ORD000023,24-07-2024,LED Desk Lamp,Home & Kitchen,South,New,Online,3,919.74,0.2,2207.38,728.58,43
ORD000024,11-07-2023,Running Shoes,Fashion,South,Returning,Online,1,2499.13,0.2,1999.3,463.29,63
ORD000025,10-03-2025,Jeans,Fashion,West,Loyal,Retail Store,2,1646.6,0.15,2799.22,926.97,65
ORD000026,14-11-2023,Women's Kurti,Fashion,East,New,Online,4,1207.52,0.25,3622.56,1338.88,39
ORD000027,03-09-2025,Moisturizer,Beauty,Central,New,Online,5,612.52,0,3062.6,715.74,68
ORD000028,06-04-2025,USB-C Charger,Electronics,Central,Loyal,Retail Store,3,983.12,0.1,2654.42,932.96,56
ORD000029,18-06-2024,Women's Kurti,Fashion,East,New,Online,3,1213.72,0.15,3094.99,963.92,60
ORD000030,27-07-2025,Sunscreen,Beauty,Central,Returning,Online,4,551.91,0,2207.64,544.16,38
ORD000031,15-05-2024,Water Bottle,Home & Kitchen,East,Loyal,Online,4,496.57,0.15,1688.34,703.65,67
ORD000032,05-09-2024,USB-C Charger,Electronics,South,Loyal,Online,3,1006.65,0.15,2566.96,704.55,71
ORD000033,03-12-2024,Women's Kurti,Fashion,East,Returning,Online,3,1178.07,0.2,2827.37,980.69,33
ORD000034,08-01-2023,Mixer Grinder,Home & Kitchen,South,Loyal,Online,2,3305.9,0.15,5620.03,2029.58,45
ORD000035,18-08-2023,Smart Watch,Electronics,South,New,Retail Store,1,3021.87,0.1,2719.68,832.11,40
ORD000036,16-01-2025,Bluetooth Speaker,Electronics,East,Returning,Online,3,1495.53,0,4486.59,1489.44,59
ORD000037,29-04-2024,Men's T-Shirt,Fashion,South,Returning,Online,3,717.33,0.15,1829.19,688.65,42
ORD000038,30-06-2024,Men's T-Shirt,Fashion,North,Returning,Retail Store,3,692.79,0.1,1870.53,717.01,43
ORD000039,17-09-2024,Running Shoes,Fashion,South,Returning,Retail Store,4,2483.83,0.05,9438.55,2207.53,41
ORD000040,09-11-2025,Non-stick Pan,Home & Kitchen,Central,Returning,Online,5,1086.83,0.15,4619.03,1905.38,28
ORD000041,11-08-2023,Sunscreen,Beauty,West,Returning,Online,1,554.66,0.1,499.19,160.88,70
ORD000042,05-06-2024,Bluetooth Speaker,Electronics,West,Loyal,Online,5,1520.5,0.1,6842.25,2792,45
ORD000043,15-01-2025,Bedsheet Set,Home & Kitchen,North,Loyal,Retail Store,5,1293.41,0.1,5820.35,2267.63,37
ORD000044,04-11-2025,Backpack,Fashion,West,Returning,Online,3,1379.92,0.2,3311.81,1007.09,48
ORD000045,08-09-2024,Non-stick Pan,Home & Kitchen,Central,Loyal,Retail Store,4,1100.64,0,4402.56,1479.25,25
ORD000046,10-08-2025,LED Desk Lamp,Home & Kitchen,West,New,Online,3,921.53,0.2,2211.67,838.68,19
ORD000047,04-08-2024,Moisturizer,Beauty,Central,New,Online,2,594.05,0.2,950.48,268.12,62
ORD000048,20-02-2023,Bluetooth Speaker,Electronics,South,Loyal,Online,4,1474.48,0.2,4718.34,1429.13,59
ORD000049,25-02-2025,Face Wash,Beauty,West,New,Retail Store,3,357.6,0,1072.8,420.63,70
ORD000050,24-03-2024,Men's T-Shirt,Fashion,Central,Returning,Retail Store,1,689.26,0.2,551.41,136.02,46
ORD000051,25-06-2025,Sunscreen,Beauty,Central,Returning,Retail Store,1,562.65,0.1,506.38,186.72,55
ORD000052,14-06-2024,Running Shoes,Fashion,East,Loyal,Retail Store,3,2478.91,0.15,6321.22,1946.77,27
ORD000053,25-04-2024,Jeans,Fashion,East,New,Online,2,1579.08,0,3158.16,936.73,62
ORD000054,12-05-2023,Bedsheet Set,Home & Kitchen,West,Loyal,Online,2,1286.45,0,2572.9,782.24,63
